"univ","bez_ZNO_budg","mol_sp","total_budg","bez_ZNO_to_total_budget","mol_sp_to_bez_ZNO_budget","total_new_students","budget_to_new_students"
"Азовський морський інститут Національного університету «Одеська морська академія»",,,22,,,115,19.1
"Академія Державної пенітенціарної служби",3,,151,2,,185,81.6
"Бердянський державний педагогічний університет",31,20,227,13.7,64.5,1022,22.2
"Білоцерківський національний аграрний університет",337,299,487,69.2,88.7,1141,42.7
"Бурштинський енергетичний коледж Івано-Франківського національного технічного університету нафти і газу",35,35,35,100,100,91,38.5
"Вищий навчальний заклад ""Одеська державна академія технічного регулювання та якості""",29,29,31,93.5,100,125,24.8
"Вищий навчальний комунальний заклад Львівської обласної ради ""Львівський інститут медсестринства та лабораторної медицини  ім. Андрея Крупинського""",28,28,43,65.1,100,50,86
"Відокремлений підрозділ ""Львівська філія Київського національного університету культури і мистецтв""",,,51,,,100,51
"Відокремлений підрозділ ""Миколаївська філія Київського національного університету культури і мистецтв""",8,,86,9.3,,243,35.4
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Бережанський агротехнічний інститут""",48,28,66,72.7,58.3,304,21.7
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Немішаївський агротехнічний коледж""",60,60,60,100,100,87,69
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Ніжинський агротехнічний інститут""",39,35,59,66.1,89.7,151,39.1
"Відокремлений структурний підрозділ Національного авіаційного університету ""Кіровоградська льотна академія Національного авіаційного університету""",2,,71,2.8,,135,52.6
"Вінницький державний педагогічний університет імені Михайла Коцюбинського",39,37,375,10.4,94.9,1092,34.3
"Вінницький навчально-науковий інститут економіки Тернопільського національного економічного університету",,,14,,,178,7.9
"Вінницький національний аграрний університет",89,88,298,29.9,98.9,1544,19.3
"Вінницький національний технічний університет",126,125,495,25.5,99.2,953,51.9
"Вінницький торговельно - економічний інститут Київського національного торговельно - економічного університету",2,,57,3.5,,1066,5.3
"Глухівський агротехнічний інститут імені С.А. Ковпака Сумського національного аграрного університету",56,56,56,100,100,124,45.2
"Глухівський національний педагогічний університет імені Олександра Довженка",202,196,305,66.2,97,438,69.6
"Горлівський інститут іноземних мов Державного вищого навчального закладу ""Донбаський державний педагогічний університет""",58,39,156,37.2,67.2,223,70
"Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""",115,84,308,37.3,73,668,46.1
"Державний вищий навчальний заклад ""Донецький національний технічний університет""",112,82,288,38.9,73.2,510,56.5
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""",118,101,678,17.4,85.6,2540,26.7
"Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""",19,15,316,6,78.9,862,36.7
"Державний вищий навчальний заклад ""Криворізький національний університет""",228,203,481,47.4,89,958,50.2
"Державний вищий навчальний заклад ""Національний гірничий університет""",425,424,808,52.6,99.8,1713,47.2
"Державний вищий навчальний заклад ""Національний лісотехнічний університет України""",160,159,281,56.9,99.4,639,44
"Державний вищий навчальний заклад ""Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди""",319,257,597,53.4,80.6,1079,55.3
"Державний вищий навчальний заклад ""Приазовський державний технічний університет""",243,223,434,56,91.8,975,44.5
"Державний вищий навчальний заклад ""Придніпровська державна академія будівництва та архітектури""",103,87,277,37.2,84.5,678,40.9
"Державний вищий навчальний заклад ""Прикарпатський національний університет імені Василя Стефаника""",42,41,628,6.7,97.6,3007,20.9
"Державний вищий навчальний заклад ""Тернопiльський державний медичний університет iменi I.Я. Горбачевського Міністерства охорони здоров`я України""",,,9,,,215,4.2
"Державний вищий навчальний заклад ""Ужгородський національний університет""",102,91,674,15.1,89.2,1981,34
"Державний вищий навчальний заклад ""Український державний хіміко-технологічний університет""",138,137,244,56.6,99.3,722,33.8
"Державний вищий навчальний заклад ""Університет банківської справи""",15,12,38,39.5,80,62,61.3
"Державний вищий навчальний заклад ""Херсонський державний аграрний університет""",138,118,202,68.3,85.5,453,44.6
"Державний заклад ""Дніпропетровська медична академія Міністерства охорони здоров'я України""",,,6,,,23,26.1
"Державний заклад ""Луганський національний університет імені Тараса Шевченка""",373,247,681,54.8,66.2,1356,50.2
"Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»",59,57,260,22.7,96.6,1062,24.5
"Державний університет інфраструктури та технологій",96,89,124,77.4,92.7,696,17.8
"Державний університет телекомунікацій",2,,183,1.1,,1208,15.1
"Дніпровський державний технічний університет",83,80,128,64.8,96.4,392,32.7
"Дніпропетровський державний аграрно-економічний університет",111,99,315,35.2,89.2,839,37.5
"Дніпропетровський державний інститут фізичної культури і спорту",10,10,104,9.6,100,171,60.8
"Дніпропетровський національний університет залізничного транспорту імені академіка В. Лазаряна",179,179,395,45.3,100,785,50.3
"Дніпропетровський національний університет імені Олеся Гончара",108,104,715,15.1,96.3,1730,41.3
"Донбаська державна машинобудівна академія",240,233,356,67.4,97.1,518,68.7
"Донбаська національна академія будівництва і архітектури",60,57,106,56.6,95,140,75.7
"Донбаський державний технічний університет",172,138,206,83.5,80.2,303,68
"Донецький державний університет управління",67,44,118,56.8,65.7,185,63.8
"Донецький національний університет економіки і торгівлі імені Михайла Туган-Барановського",46,39,131,35.1,84.8,428,30.6
"Донецький національний університет імені Василя Стуса",103,86,438,23.5,83.5,1222,35.8
"Дрогобицький державний педагогічний університет імені Івана Франка",80,73,367,21.8,91.2,894,41.1
"Дунайський інститут Національного університету «Одеська морська академія»",,,6,,,99,6.1
"Житомирський державний технологічний університет",94,85,277,33.9,90.4,779,35.6
"Житомирський державний університет імені Івана Франка",14,13,333,4.2,92.9,959,34.7
"Житомирський національний агроекологічний університет",160,142,402,39.8,88.8,1399,28.7
"Закарпатська академія мистецтв",15,14,29,51.7,93.3,75,38.7
"Запорізька державна інженерна академія",30,28,105,28.6,93.3,321,32.7
"Запорізький національний технічний університет",446,434,729,61.2,97.3,2192,33.3
"Запорізький національний університет",10,,264,3.8,,2000,13.2
"Івано-Франківський коледж фізичного виховання Національного університету фізичного виховання і спорту України",10,10,10,100,100,117,8.5
"Івано-Франківський навчально-науковий інститут менеджменту Тернопільського національного економічного університету",19,,25,76,,126,19.8
"Івано-Франківський національний технічний університет нафти і газу",156,155,533,29.3,99.4,1455,36.6
"Ізмаїльський державний гуманітарний університет",87,84,205,42.4,96.6,371,55.3
"Індустріальний інститут Державного вищого навчального закладу ""Донецький національний технічний університет""",3,,40,7.5,,85,47.1
"Інститут хімічних технологій Східноукраїнського національного університету імені Володимира Даля (м. Рубіжне)",13,13,20,65,100,172,11.6
"Кам'янець-Подільський національний університет імені Івана Огієнка",65,61,409,15.9,93.8,1032,39.6
"Київська дитяча Академія мистецтв",,,9,,,11,81.8
"Київська муніципальна академія естрадного та циркового мистецтв",,,43,,,144,29.9
"Київський державний інститут декоративно-прикладного мистецтва і дизайну імені Михайла Бойчука",,,44,,,150,29.3
"Київський інститут музики ім. Р.М. Глієра",42,42,50,84,100,75,66.7
"Київський національний лінгвістичний університет",,,335,,,1216,27.5
"Київський національний торговельно-економічний університет",26,20,638,4.1,76.9,3871,16.5
"Київський національний університет будівництва і архітектури",234,232,696,33.6,99.1,1315,52.9
"Київський національний університет імені Тараса Шевченка",113,91,2661,4.2,80.5,4332,61.4
"Київський національний університет культури і мистецтв",7,,739,0.9,,1045,70.7
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",3,,132,2.3,,288,45.8
"Київський національний університет технологій та дизайну",247,247,449,55,100,1346,33.4
"Київський університет імені Бориса Грінченка",131,130,511,25.6,99.2,1634,31.3
"Коломийський навчально-науковий інститут Прикарпатського національного університету імені Василя Стефаника",,,2,,,126,1.6
"Комунальний вищий навчальний заклад ""Житомирський інститут медсестринства"" Житомирської обласної ради",25,25,47,53.2,100,122,38.5
"Комунальний вищий навчальний заклад «Хортицька національна навчально-реабілітаційна академія» Запорізької обласної ради",52,48,137,38,92.3,175,78.3
"Комунальний заклад ""Харківська гуманітарно-педагогічна академія"" Харківської обласної ради",119,119,352,33.8,100,471,74.7
"Конотопський інститут Сумського державного університету",23,23,26,88.5,100,76,34.2
"Косівський інститут прикладного та декоративного мистецтва Львівської національної академії мистецтв",28,28,51,54.9,100,67,76.1
"Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка",32,32,177,18.1,100,410,43.2
"Кременчуцький національний університет імені Михайла Остроградського",148,148,260,56.9,100,894,29.1
"Криворізький економічний інститут Державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",14,5,34,41.2,35.7,224,15.2
"Криворізький коледж Національного авіаційного університету",10,10,10,100,100,87,11.5
"Криворізький металургійний інститут Національної металургійної академії України",6,,21,28.6,,165,12.7
"Луганська державна академія культури і мистецтв",,,23,,,43,53.5
"Луганський національний аграрний університет",378,284,452,83.6,75.1,591,76.5
"Луцький національний технічний університет",287,276,674,42.6,96.2,1339,50.3
"Львівська національна академія мистецтв",,,105,,,217,48.4
"Львівська національна музична академія імені М.В.Лисенка",,,104,,,141,73.8
"Львівська філія Дніпропетровського національного університету залізничного транспорту імені академіка В. Лазаряна",11,11,28,39.3,100,159,17.6
"Львівський державний університет безпеки життєдіяльності",4,4,143,2.8,100,398,35.9
"Львівський державний університет фізичної культури",50,49,269,18.6,98,609,44.2
"Львівський інститут економіки і туризму",,,5,,,112,4.5
"Львівський навчально-науковий інститут Державного вищого навчального закладу ""Університет банківської справи""",10,9,16,62.5,90,68,23.5
"Львівський національний аграрний університет",173,172,353,49,99.4,975,36.2
"Львівський національний університет ветеринарної медицини та біотехнологій  імені С.З. Гжицького",194,188,277,70,96.9,494,56.1
"Львівський національний університет імені Івана Франка",14,11,1680,0.8,78.6,4176,40.2
"Маріупольський державний університет",2,,191,1,,658,29
"Мелітопольський державний педагогічний університет імені Богдана Хмельницького",152,149,292,52.1,98,704,41.5
"Миколаївський національний аграрний університет",12,,197,6.1,,846,23.3
"Миколаївський національний університет імені В.О. Сухомлинського",100,93,277,36.1,93,879,31.5
"Мукачівський державний університет",45,45,96,46.9,100,495,19.4
"Навчально-науковий професійно-педагогічний інститут Української інженерно- педагогічної академії ( м.Бахмут)",13,11,18,72.2,84.6,163,11
"Надслучанський інститут Національного університету водного господарства та природокористування",11,10,13,84.6,90.9,49,26.5
