"spec","ms.perc_cont","ms.perc_bud","vnz","ms_un_perc_bud","ms_un_perc_cont"
"012 дошкільна освіта","51.39","40.45","""Закарпатський угорський інститут імені Ференца Ракоці ІІ""","0",51.72
"012 дошкільна освіта","51.39","40.45","Дрогобицький державний педагогічний університет імені Івана Франка","33.33",75
"012 дошкільна освіта","51.39","40.45","Полтавський національний педагогічний університет імені В.Г. Короленка","46.15",0
"012 дошкільна освіта","51.39","40.45","Чернівецький національний університет імені Юрія Федьковича","12.5",0
"012 дошкільна освіта","51.39","40.45","Державний вищий навчальний заклад ""Прикарпатський національний університет імені Василя Стефаника""","17.65",27.45
"012 дошкільна освіта","51.39","40.45","Черкаський національний університет імені Богдана Хмельницького","15",50
"012 дошкільна освіта","51.39","40.45","Ніжинський державний університет імені Миколи Гоголя","15.38",47.83
"012 дошкільна освіта","51.39","40.45","Державний вищий навчальний заклад ""Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди""","58.33",0
"012 дошкільна освіта","51.39","40.45","Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""","49.02",76.92
"012 дошкільна освіта","51.39","40.45","Східноєвропейський національний університет імені Лесі Українки","44.74",0
"012 дошкільна освіта","51.39","40.45","Комунальний заклад ""Харківська гуманітарно-педагогічна академія"" Харківської обласної ради","50.91",0
"012 дошкільна освіта","51.39","40.45","Харківський національний педагогічний університет імені Г.С. Сковороди","40.54",0
"012 дошкільна освіта","51.39","40.45","Миколаївський національний університет імені В.О. Сухомлинського","48.28",0
"012 дошкільна освіта","51.39","40.45","Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка","20",0
"012 дошкільна освіта","51.39","40.45","Рівненський державний гуманітарний університет","26.79",0
"012 дошкільна освіта","51.39","40.45","Уманський державний педагогічний університет імені Павла Тичини","72.58",66.67
"012 дошкільна освіта","51.39","40.45","Тернопільський національний педагогічний університет імені Володимира Гнатюка","46.67",0
"012 дошкільна освіта","51.39","40.45","Кам'янець-Подільський національний університет імені Івана Огієнка","47.62",25.93
"012 дошкільна освіта","51.39","40.45","Хмельницька гуманітарно-педагогічна академія","57.14",0
"012 дошкільна освіта","51.39","40.45","Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»","54.05",27.78
"012 дошкільна освіта","51.39","40.45","Вінницький державний педагогічний університет імені Михайла Коцюбинського","30.3",0
"012 дошкільна освіта","51.39","40.45","Чернігівський національний педагогічний університет імені Т.Г. Шевченка","27.78",0
"012 дошкільна освіта","51.39","40.45","Центральноукраїнський державний педагогічний університет імені Володимира Винниченка (Кіровоградський державний педагогічний університет імені Володимира Винниченка)","0",33.33
"012 дошкільна освіта","51.39","40.45","Ізмаїльський державний гуманітарний університет","42.11",0
"012 дошкільна освіта","51.39","40.45","Державний заклад ""Луганський національний університет імені Тараса Шевченка""","40",0
"012 дошкільна освіта","51.39","40.45","Бердянський державний педагогічний університет","0",47.62
"012 дошкільна освіта","51.39","40.45","Національний педагогічний університет імені М.П. Драгоманова","63.33",29.91
"012 дошкільна освіта","51.39","40.45","Житомирський державний університет імені Івана Франка","21.74",0
"012 дошкільна освіта","51.39","40.45","Херсонський державний університет","41.67",39.58
"012 дошкільна освіта","51.39","40.45","Маріупольський державний університет","0",8.93
"012 дошкільна освіта","51.39","40.45","Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","46.88",38.36
"012 дошкільна освіта","51.39","40.45","Сумський державний педагогічний університет імені А.С. Макаренка","22.73",0
"012 дошкільна освіта","51.39","40.45","Глухівський національний педагогічний університет імені Олександра Довженка","64.52",0
"012 дошкільна освіта","51.39","40.45","Мукачівський державний університет","57.69",0
"012 дошкільна освіта","51.39","40.45","Мелітопольський державний педагогічний університет імені Богдана Хмельницького","66.07",0
"013 початкова освіта","57.55","41.12","Кам'янець-Подільський національний університет імені Івана Огієнка","10.64",0
"013 початкова освіта","57.55","41.12","Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""","40.82",0
"013 початкова освіта","57.55","41.12","Дрогобицький державний педагогічний університет імені Івана Франка","26.79",0
"013 початкова освіта","57.55","41.12","Полтавський національний педагогічний університет імені В.Г. Короленка","33.33",0
"013 початкова освіта","57.55","41.12","Чернівецький національний університет імені Юрія Федьковича","37.5",0
"013 початкова освіта","57.55","41.12","Миколаївський національний університет імені В.О. Сухомлинського","60.47",0
"013 початкова освіта","57.55","41.12","Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»","55.88",43.16
"013 початкова освіта","57.55","41.12","Черкаський національний університет імені Богдана Хмельницького","59.52",30.77
"013 початкова освіта","57.55","41.12","Ніжинський державний університет імені Миколи Гоголя","55.56",0
"013 початкова освіта","57.55","41.12","Державний вищий навчальний заклад ""Криворізький державний педагогічний університет""","0",44.26
"013 початкова освіта","57.55","41.12","Центральноукраїнський державний педагогічний університет імені Володимира Винниченка (Кіровоградський державний педагогічний університет імені Володимира Винниченка)","35",42.86
"013 початкова освіта","57.55","41.12","Рівненський державний гуманітарний університет","44.44",0
"013 початкова освіта","57.55","41.12","Державний вищий навчальний заклад ""Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди""","64.94",0
"013 початкова освіта","57.55","41.12","Сумський державний педагогічний університет імені А.С. Макаренка","50",0
"013 початкова освіта","57.55","41.12","Вінницький державний педагогічний університет імені Михайла Коцюбинського","25.64",25.86
"013 початкова освіта","57.55","41.12","Тернопільський національний педагогічний університет імені Володимира Гнатюка","52.5",0
