"vnz","total_st","mol_sp","percent"
"Закарпатський угорський інститут імені Ференца Ракоці ІІ",188,51,27.1
"Київський кооперативний інститут бізнесу і права",209,183,87.6
"Класичний приватний університет",452,380,84.1
"Харківський економіко-правовий університет" у формі товариства з обмеженою відповідальністю",75,67,89.3
"Азовський морський інститут Національного університету «Одеська морська академія»",115,0,0
"Академія Державної пенітенціарної служби",185,20,10.8
"Академія праці, соціальних відносин і туризму",183,47,25.7
"Барська філія Глухівського національного педагогічного університету імені Олександра Довженка",30,30,100
"Бердянський державний педагогічний університет",1022,390,38.2
"Білоцерківська філія Вищого навчального закладу ""Одеська державна академія технічного регулювання та якості""",30,30,100
"Білоцерківський інститут економіки та управління вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",46,32,69.6
"Білоцерківський інститут неперервної професійної освіти",13,13,100
"Білоцерківський коледж фінансів, обліку та аудиту Національної академії статистики, обліку та аудиту",32,32,100
"Білоцерківський національний аграрний університет",1141,624,54.7
"Бурштинський енергетичний коледж Івано-Франківського національного технічного університету нафти і газу",91,90,98.9
"Вищий державний навчальний заклад України ""Буковинський державний медичний університет""",40,36,90
"Вищий навчальний заклад ""Відкритий міжнародний університет розвитку людини ""Україна""",399,250,62.7
"Вищий навчальний заклад ""Київська Академія перукарського мистецтва""",45,4,8.9
"Вищий навчальний заклад ""Київський університет ринкових відносин"" у формі товариства з обмеженою відповідальністю",116,103,88.8
"Вищий навчальний заклад ""Міжнародний технологічний університет ""Миколаївська політехніка""",74,63,85.1
"Вищий навчальний заклад ""Одеська державна академія технічного регулювання та якості""",125,120,96
"Вищий навчальний заклад ""Приватне акціонерне товариство ""Волинський інститут економіки та менеджменту""",2,2,100
"Вищий навчальний заклад ""Приватне акціонерне товариство ""Львівський інститут менеджменту""",28,2,7.1
"Вищий навчальний заклад ""Український католицький університет""",321,0,0
"Вищий навчальний заклад ""Університет економіки та права ""КРОК""",414,110,26.6
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",788,109,13.8
"Вищий навчальний заклад Інститут реклами (у формі товариства з обмеженою відповідальністю)",23,12,52.2
"Вищий навчальний заклад Укоопспілки ""Полтавський університет економіки і торгівлі""",1262,868,68.8
"Вищий навчальний комунальний заклад Львівської обласної ради ""Львівський інститут медсестринства та лабораторної медицини  ім. Андрея Крупинського""",50,30,60
"Вищий навчальний приватний заклад ""Дніпропетровський гуманітарний університет""",150,0,0
"Відокремлений підрозділ ""Дніпровський факультет Київського національного університету культури і мистецтв""",20,20,100
"Відокремлений підрозділ ""Дніпровський факультет менеджменту і бізнесу Київського університету культури""",230,128,55.7
"Відокремлений підрозділ ""Львівська філія Київського національного університету культури і мистецтв""",100,8,8
"Відокремлений підрозділ ""Львівський факультет менеджменту і бізнесу Київського університету культури""",151,116,76.8
"Відокремлений підрозділ ""Миколаївська філія Київського національного університету культури і мистецтв""",243,101,41.6
"Відокремлений підрозділ ""Миколаївський факультет менеджменту і бізнесу Київського університету культури""",253,144,56.9
"Відокремлений підрозділ «Кадіївський педагогічний коледж Луганського національного університету імені Тараса Шевченка»",8,8,100
"Відокремлений підрозділ Національного університету біоресурсів і природокористування України ""Бережанський агротехнічний інститут""",304,219,72
