"univ","code","spec","ms","pzso"
"Азовський морський інститут Національного університету «Одеська морська академія»","073","Менеджмент",0,1
"Азовський морський інститут Національного університету «Одеська морська академія»","271","Річковий та морський транспорт",0,21
"Академія Державної пенітенціарної служби","053","Психологія",0,5
"Академія Державної пенітенціарної служби","081","Право",0,146
"Бердянський державний педагогічний університет","012","Дошкільна освіта",0,25
"Бердянський державний педагогічний університет","013","Початкова освіта",20,21
"Бердянський державний педагогічний університет","014","Середня освіта",0,103
"Бердянський державний педагогічний університет","015","Професійна освіта",0,16
"Бердянський державний педагогічний університет","016","Спеціальна освіта",0,19
"Бердянський державний педагогічний університет","017","Фізична культура і спорт",0,10
"Бердянський державний педагогічний університет","053","Психологія",0,3
"Бердянський державний педагогічний університет","072","Фінанси, банківська справа та страхування",0,1
"Бердянський державний педагогічний університет","073","Менеджмент",0,1
"Бердянський державний педагогічний університет","076","Підприємництво, торгівля та біржова діяльність",0,2
"Бердянський державний педагогічний університет","081","Право",0,2
"Бердянський державний педагогічний університет","231","Соціальна робота",0,4
"Білоцерківський національний аграрний університет","051","Економіка",3,1
"Білоцерківський національний аграрний університет","071","Облік і оподаткування",6,2
"Білоцерківський національний аграрний університет","072","Фінанси, банківська справа та страхування",7,1
"Білоцерківський національний аграрний університет","073","Менеджмент",5,2
"Білоцерківський національний аграрний університет","076","Підприємництво, торгівля та біржова діяльність",3,1
"Білоцерківський національний аграрний університет","081","Право",5,7
"Білоцерківський національний аграрний університет","101","Екологія",5,4
"Білоцерківський національний аграрний університет","181","Харчові технології",15,15
"Білоцерківський національний аграрний університет","193","Геодезія та землеустрій",15,8
"Білоцерківський національний аграрний університет","201","Агрономія",80,66
"Білоцерківський національний аграрний університет","204","Технологія виробництва та переробки продукції тваринництва",55,46
"Білоцерківський національний аграрний університет","205","Лісове господарство",10,10
"Білоцерківський національний аграрний університет","206","Садово-паркове господарство",5,10
"Білоцерківський національний аграрний університет","207","Водні біоресурси та аквакультура",10,14
"Білоцерківський національний аграрний університет","211","Ветеринарна медицина",75,0
"Білоцерківський національний аграрний університет","281","Публічне управління та адміністрування",0,1
"Бурштинський енергетичний коледж Івано-Франківського національного технічного університету нафти і газу","141","Електроенергетика, електротехніка та електромеханіка",20,0
"Бурштинський енергетичний коледж Івано-Франківського національного технічного університету нафти і газу","144","Теплоенергетика",15,0
"Вищий навчальний заклад ""Одеська державна академія технічного регулювання та якості""","151","Автоматизація та комп’ютерно-інтегровані технології",4,0
"Вищий навчальний заклад ""Одеська державна академія технічного регулювання та якості""","152","Метрологія та інформаційно-вимірювальна техніка",15,2
"Вищий навчальний заклад ""Одеська державна академія технічного регулювання та якості""","171","Електроніка",10,0
"Вищий навчальний комунальний заклад Львівської обласної ради ""Львівський інститут медсестринства та лабораторної медицини  ім. Андрея Крупинського""","223","Медсестринство освітня програма: сестринська справа",18,9
"Вищий навчальний комунальний заклад Львівської обласної ради ""Львівський інститут медсестринства та лабораторної медицини  ім. Андрея Крупинського""","224","Технології медичної діагностики та лікування освітня програма: лабораторна діагностика",10,6
"Відокремлений підрозділ ""Львівська філія Київського національного університету культури і мистецтв""","021","Аудіовізуальне мистецтво та виробництво",0,25
"Відокремлений підрозділ ""Львівська філія Київського національного університету культури і мистецтв""","022","Дизайн",0,7
"Відокремлений підрозділ ""Львівська філія Київського національного університету культури і мистецтв""","027","Музеєзнавство, пам’яткознавство",0,8
"Відокремлений підрозділ ""Львівська філія Київського національного університету культури і мистецтв""","241","Готельно-ресторанна справа",0,5
"Відокремлений підрозділ ""Львівська філія Київського національного університету культури і мистецтв""","242","Туризм",0,6
