"vnz","code","spec","y1","x1","y2","x2","ms_un_perc_bud","ms_un_perc_cont"
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""","код спец-ті: 012","дошкільна освіта",0,0,15,13,0,51.72
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""","код спец-ті: 013","початкова освіта",0,0,15,2,0,75
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""","код спец-ті: 014","середня освіта",0,0,18,83,0,16.98
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""","код спец-ті: 071","облік і оподаткування",0,0,0,13,0,0
"""Закарпатський угорський інститут імені Ференца Ракоці ІІ""","код спец-ті: 242","туризм",0,0,3,13,0,17.65
"""Київський кооперативний інститут бізнесу і права""","код спец-ті: 071","облік і оподаткування",0,0,2,0,0,100
"""Київський кооперативний інститут бізнесу і права""","код спец-ті: 072","фінанси, банківська справа та страхування",0,0,11,2,0,84.62
"""Київський кооперативний інститут бізнесу і права""","код спец-ті: 076","підприємництво, торгівля та біржова діяльність",0,0,9,4,0,69.23
"""Київський кооперативний інститут бізнесу і права""","код спец-ті: 081","право",0,0,8,13,0,33.33
"""Київський кооперативний інститут бізнесу і права""","код спец-ті: 181","харчові технології",0,0,9,1,0,69.23
"""Київський кооперативний інститут бізнесу і права""","код спец-ті: 6.030401","правознавство",0,0,33,0,0,100
"""Київський кооперативний інститут бізнесу і права""","код спец-ті: 6.030508","фінанси і кредит",0,0,23,0,0,100
"""Київський кооперативний інститут бізнесу і права""","код спец-ті: 6.030509","облік і аудит",0,0,15,0,0,100
"""Київський кооперативний інститут бізнесу і права""","код спец-ті: 6.030510","товарознавство і торговельне підприємництво",0,0,31,0,0,100
"""Київський кооперативний інститут бізнесу і права""","код спец-ті: 6.051701","харчові технології та інженерія",0,0,42,0,0,100
"""Класичний приватний університет""","код спец-ті: 014","середня освіта",0,0,6,3,0,66.67
"""Класичний приватний університет""","код спец-ті: 017","фізична культура і спорт",0,0,2,6,0,25
"""Класичний приватний університет""","код спец-ті: 022","дизайн",0,0,0,5,0,0
"""Класичний приватний університет""","код спец-ті: 035","філологія",0,0,3,5,0,37.5
"""Класичний приватний університет""","код спец-ті: 041","богослов’я",0,0,1,0,0,100
"""Класичний приватний університет""","код спец-ті: 051","економіка",0,0,2,11,0,15.38
"""Класичний приватний університет""","код спец-ті: 053","психологія",0,0,2,2,0,50
"""Класичний приватний університет""","код спец-ті: 056","міжнародні економічні відносини",0,0,1,0,0,100
"""Класичний приватний університет""","код спец-ті: 061","журналістика",0,0,1,6,0,14.29
"""Класичний приватний університет""","код спец-ті: 073","менеджмент",0,0,9,3,0,75
"""Класичний приватний університет""","код спец-ті: 075","маркетинг",0,0,8,6,0,57.14
"""Класичний приватний університет""","код спец-ті: 081","право",0,0,9,8,0,52.94
"""Класичний приватний університет""","код спец-ті: 121","інженерія програмного забезпечення",0,0,0,5,0,0
"""Класичний приватний університет""","код спец-ті: 227","фізична реабілітація",0,0,4,0,0,100
"""Класичний приватний університет""","код спец-ті: 227","фізична терапія, ерготерапія",0,0,0,4,0,0
"""Класичний приватний університет""","код спец-ті: 231","соціальна робота",0,0,3,2,0,60
"""Класичний приватний університет""","код спец-ті: 241","готельно-ресторанна справа",0,0,0,2,0,0
"""Класичний приватний університет""","код спец-ті: 242","туризм",0,0,1,2,0,33.33
"""Класичний приватний університет""","код спец-ті: 293","міжнародне право",0,0,0,2,0,0
"""Класичний приватний університет""","код спец-ті: 6.010201","фізичне виховання",0,0,32,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.010203","здоров’я людини",0,0,49,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.020207","дизайн",0,0,11,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.030102","психологія",0,0,10,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.030302","реклама і зв’язки з громадськістю",0,0,2,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.030303","видавнича справа та редагування",0,0,2,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.030401","правознавство",0,0,60,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.030502","економічна кібернетика",0,0,3,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.030503","міжнародна економіка",0,0,23,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.030504","економіка підприємства",0,0,48,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.030508","фінанси і кредит",0,0,26,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.030509","облік і аудит",0,0,9,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.030601","менеджмент",0,0,22,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.050103","програмна інженерія",0,0,12,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.080101","геодезія, картографія та землеустрій",0,0,8,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.140101","готельно-ресторанна справа",0,0,10,0,0,100
"""Класичний приватний університет""","код спец-ті: 6.140103","туризм",0,0,1,0,0,100
"""Харківський економіко-правовий університет"" у формі товариства з обмеженою відповідальністю","код спец-ті: 081","право",0,0,67,8,0,89.33
"Азовський морський інститут Національного університету «Одеська морська академія»","код спец-ті: 073","менеджмент",0,1,0,7,0,0
"Азовський морський інститут Національного університету «Одеська морська академія»","код спец-ті: 271","річковий та морський транспорт",0,21,0,86,0,0
"Академія Державної пенітенціарної служби","код спец-ті: 053","психологія",0,5,0,1,0,0
"Академія Державної пенітенціарної служби","код спец-ті: 081","право",0,146,0,13,0,0
"Академія Державної пенітенціарної служби","код спец-ті: 6.030401","правознавство",0,0,20,0,0,100
"Академія праці, соціальних відносин і туризму","код спец-ті: 054","соціологія",0,0,1,3,0,25
"Академія праці, соціальних відносин і туризму","код спец-ті: 072","фінанси, банківська справа та страхування",0,0,0,4,0,0
"Академія праці, соціальних відносин і туризму","код спец-ті: 073","менеджмент",0,0,1,15,0,6.25
"Академія праці, соціальних відносин і туризму","код спец-ті: 075","маркетинг",0,0,5,7,0,41.67
"Академія праці, соціальних відносин і туризму","код спец-ті: 076","підприємництво, торгівля та біржова діяльність",0,0,5,9,0,35.71
"Академія праці, соціальних відносин і туризму","код спец-ті: 081","право",0,0,23,48,0,30.67
"Академія праці, соціальних відносин і туризму","код спец-ті: 231","соціальна робота",0,0,12,11,0,52.17
"Академія праці, соціальних відносин і туризму","код спец-ті: 242","туризм",0,0,0,34,0,0
"Барська філія Глухівського національного педагогічного університету імені Олександра Довженка","код спец-ті: 012","дошкільна освіта",0,0,2,0,0,100
"Барська філія Глухівського національного педагогічного університету імені Олександра Довженка","код спец-ті: 013","початкова освіта",0,0,11,0,0,100
"Барська філія Глухівського національного педагогічного університету імені Олександра Довженка","код спец-ті: 014","середня освіта",0,0,14,0,0,100
"Барська філія Глухівського національного педагогічного університету імені Олександра Довженка","код спец-ті: 053","психологія",0,0,3,0,0,100
"Бердянський державний педагогічний університет","код спец-ті: 012","дошкільна освіта",0,25,50,30,0,47.62
"Бердянський державний педагогічний університет","код спец-ті: 013","початкова освіта",20,21,79,21,48.78,75.24
"Бердянський державний педагогічний університет","код спец-ті: 014","середня освіта",0,103,40,72,0,31.25
"Бердянський державний педагогічний університет","код спец-ті: 015","професійна освіта",0,16,8,18,0,30.77
"Бердянський державний педагогічний університет","код спец-ті: 016","спеціальна освіта",0,19,40,12,0,45.98
"Бердянський державний педагогічний університет","код спец-ті: 017","фізична культура і спорт",0,10,0,19,0,0
"Бердянський державний педагогічний університет","код спец-ті: 024","хореографія",0,0,1,13,0,6.25
"Бердянський державний педагогічний університет","код спец-ті: 032","історія та археологія",0,0,0,3,0,0
"Бердянський державний педагогічний університет","код спец-ті: 053","психологія",0,3,15,43,0,23.81
