"spec","vnz","x1","y1","ms_un_perc_bud","x2","y2","ms_un_perc_cont"
"012 дошкільна освіта","""Закарпатський угорський інститут імені Ференца Ракоці ІІ""",0,,0,15,14,51.72
"012 дошкільна освіта","Дрогобицький державний педагогічний університет імені Івана Франка",10,20,33.33,21,7,75
"012 дошкільна освіта","Полтавський національний педагогічний університет імені В.Г. Короленка",12,14,46.15,60,47,56.07
"012 дошкільна освіта","Київський університет імені Бориса Грінченка",0,,0,30,9,76.92
"012 дошкільна освіта","Чернівецький національний університет імені Юрія Федьковича",1,7,12.5,47,19,71.21
"012 дошкільна освіта","Державний вищий навчальний заклад ""Прикарпатський національний університет імені Василя Стефаника""",3,13,18.75,28,74,27.45
"012 дошкільна освіта","Черкаський національний університет імені Богдана Хмельницького",3,17,15,15,15,50
"012 дошкільна освіта","Ніжинський державний університет імені Миколи Гоголя",2,11,15.38,11,12,47.83
"012 дошкільна освіта","Державний вищий навчальний заклад ""Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди""",35,25,58.33,46,4,92
"012 дошкільна освіта","Державний вищий навчальний заклад ""Донбаський державний педагогічний університет""",25,26,49.02,60,18,76.92
"012 дошкільна освіта","Східноєвропейський національний університет імені Лесі Українки",17,21,44.74,17,7,70.83
"012 дошкільна освіта","Комунальний заклад ""Харківська гуманітарно-педагогічна академія"" Харківської обласної ради",28,27,50.91,26,9,74.29
"012 дошкільна освіта","Харківський національний педагогічний університет імені Г.С. Сковороди",15,22,40.54,15,37,28.85
"012 дошкільна освіта","Миколаївський національний університет імені В.О. Сухомлинського",14,15,48.28,26,31,45.61
"012 дошкільна освіта","Кременчуцька філія Глухівського національного педагогічного університету імені Олександра Довженка",0,,0,16,0,100
"012 дошкільна освіта","Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка",5,20,20,49,20,71.01
"012 дошкільна освіта","Рівненський державний гуманітарний університет",15,41,26.79,41,34,54.67
"012 дошкільна освіта","Уманський державний педагогічний університет імені Павла Тичини",45,17,72.58,84,42,66.67
"012 дошкільна освіта","Тернопільський національний педагогічний університет імені Володимира Гнатюка",7,8,46.67,2,10,16.67
"012 дошкільна освіта","Кам'янець-Подільський національний університет імені Івана Огієнка",20,22,47.62,7,20,25.93
"012 дошкільна освіта","Хмельницька гуманітарно-педагогічна академія",20,15,57.14,43,8,84.31
"012 дошкільна освіта","Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»",20,17,54.05,40,104,27.78
"012 дошкільна освіта","Вінницький державний педагогічний університет імені Михайла Коцюбинського",10,23,30.3,15,26,36.59
"012 дошкільна освіта","Барська філія Глухівського національного педагогічного університету імені Олександра Довженка",0,,0,2,0,100
"012 дошкільна освіта","Чернігівський національний педагогічний університет імені Т.Г. Шевченка",5,13,27.78,8,4,66.67
"012 дошкільна освіта","Центральноукраїнський державний педагогічний університет імені Володимира Винниченка (Кіровоградський державний педагогічний університет імені Володимира Винниченка)",0,,0,11,22,33.33
